train/num_tokens,train/mean_token_accuracy,_step,train/grad_norm,train/learning_rate,_runtime,_timestamp,train/epoch,train/global_step,train/loss,train/entropy
95588.0,0.7014257438480854,0,0.8710241317749023,5.399999999999999e-05,18.059125364,1764932779.0837085,0.0016,10,1.4026,0.8991966985166073
191487.0,0.7197271689772606,1,0.32206302881240845,0.00011399999999999999,35.223284866,1764932796.247995,0.0032,20,1.1515,1.0712759718298912
281289.0,0.760903512686491,2,0.22304069995880127,0.00017399999999999997,51.701806899,1764932812.7263567,0.0048,30,0.9083,0.932556827366352
375343.0,0.7643925219774246,3,0.20616088807582855,0.000234,69.064108874,1764932830.0887685,0.0064,40,0.8752,0.8856655061244965
471030.0,0.7727213703095913,4,0.25422072410583496,0.000294,86.163379236,1764932847.1880286,0.008,50,0.8279,0.863787816464901
563686.0,0.7784111082553864,5,0.21836452186107635,0.00029998423226922235,102.485363358,1764932863.5100336,0.0096,60,0.8105,0.8298894986510277
655994.0,0.7711954124271869,6,0.21758580207824707,0.00029992973078908386,119.034070172,1764932880.0586658,0.0112,70,0.8437,0.8328132193535567
750241.0,0.7821570456027984,7,0.17173190414905548,0.00029983631503873554,135.855515396,1764932896.8801847,0.0128,80,0.7899,0.8086634989827871
836460.0,0.7883033134043217,8,0.17808514833450317,0.0002997040092642407,152.091335485,1764932913.1159718,0.0144,90,0.7477,0.7733864665031434
928589.0,0.7798833094537259,9,0.18103577196598053,0.0002995328478055707,168.792736863,1764932929.8174253,0.016,100,0.8124,0.8065047461539507
1025934.0,0.7723865121603012,10,0.19685184955596924,0.0002993228750876919,185.651650222,1764932946.676141,0.0176,110,0.8205,0.8305723149329424
1126377.0,0.7899335861206055,11,0.17386314272880554,0.0002990741456090353,202.976846216,1764932964.001372,0.0192,120,0.7255,0.7536868702620267
1221476.0,0.7819924131035805,12,0.15841223299503326,0.0002987867239273512,220.828766351,1764932981.8534892,0.0208,130,0.7951,0.800711077824235
1311266.0,0.7772884920239449,13,0.1641237884759903,0.0002984606846429537,237.40613895,1764932998.4307113,0.0224,140,0.8105,0.8079623777419329
