train/mean_token_accuracy,_runtime,train/epoch,train/entropy,train/global_step,_timestamp,train/loss,train/grad_norm,train/learning_rate,_step,train/num_tokens
0.5769768103957176,39.031504921,0.07272727272727272,1.7825047373771667,10,1764931415.3241706,2.4255,1.2087153196334839,3.6e-05,0,80756.0
0.6129133731126786,67.404480332,0.14545454545454545,1.891254112124443,20,1764931443.6966896,2.0344,0.6527363657951355,7.6e-05,1,162156.0
0.6536797940731048,91.50922215,0.21818181818181817,1.7060634657740592,30,1764931467.8021479,1.6755,0.44410035014152527,0.000116,2,241094.0
0.6757461972534656,114.056320326,0.2909090909090909,1.5787025451660157,40,1764931490.3494945,1.5372,0.37091127038002014,0.00015600000000000002,3,321962.0
0.6903937958180905,138.567284094,0.36363636363636365,1.4794935032725334,50,1764931514.8603668,1.4601,0.36134475469589233,0.000196,4,402547.0
0.69355633482337,167.074283135,0.43636363636363634,1.455286404490471,60,1764931543.367334,1.4253,0.48798221349716187,0.00019963636363636364,5,481301.0
0.7028735630214215,195.469667901,0.509090909090909,1.3685057938098908,70,1764931571.7622566,1.3679,0.36788222193717957,0.00019923232323232324,6,562738.0
0.7106870613992214,219.484341621,0.5818181818181818,1.3391630448400975,80,1764931595.7773788,1.3377,0.41930049657821655,0.00019882828282828284,7,646253.0
0.7075532399117946,242.422564599,0.6545454545454545,1.35617218837142,90,1764931618.715837,1.3449,0.41404595971107483,0.00019842424242424243,8,726346.0
0.7143088236451149,265.271801166,0.7272727272727273,1.3142634890973568,100,1764931641.5650575,1.3009,0.3999936282634735,0.00019802020202020203,9,808870.0
0.7213593639433384,287.6225583,0.8,1.2845578026026487,110,1764931663.9156468,1.2713,0.4195438325405121,0.00019761616161616163,10,890959.0
0.7272020243108273,310.121289634,0.8727272727272727,1.2404926881194114,120,1764931686.4145741,1.2292,0.38172003626823425,0.00019721212121212123,11,972281.0
0.7266626432538033,332.098289102,0.9454545454545454,1.2480270761996508,130,1764931708.3911457,1.2363,0.3833260238170624,0.00019680808080808082,12,1052353.0
0.7341871551777187,352.799997309,1.0145454545454546,1.2229266362754923,140,1764931729.0932052,1.1915,0.38786837458610535,0.00019640404040404042,13,1128454.0
0.7454000882804394,374.536578144,1.0872727272727274,1.1644715748727321,150,1764931750.829821,1.1607,0.42404621839523315,0.000196,14,1209044.0
0.7482669658958911,396.647053469,1.16,1.143994827568531,160,1764931772.9401793,1.1281,0.40585753321647644,0.0001955959595959596,15,1289158.0
0.7467349097132683,418.422363693,1.2327272727272727,1.1658882282674312,170,1764931794.7157135,1.1451,0.40051475167274475,0.0001951919191919192,16,1373538.0
0.7413385964930057,440.343092792,1.3054545454545454,1.173149687796831,180,1764931816.6363602,1.1474,0.4357587397098541,0.00019478787878787881,17,1454071.0
0.7423626810312272,476.159768712,1.3781818181818182,1.1855822674930097,190,1764931852.453006,1.1667,0.4639877378940582,0.0001943838383838384,18,1535037.0
0.7526118911802768,502.338240243,1.450909090909091,1.1441467843949795,200,1764931878.6301026,1.1137,0.4279484748840332,0.00019397979797979798,19,1615524.0
0.7614144027233124,534.758283328,1.5236363636363637,1.082917830348015,210,1764931911.0493474,1.059,0.4447144567966461,0.00019357575757575758,20,1694753.0
0.7506709076464176,561.800552589,1.5963636363636362,1.1327899560332297,220,1764931938.0937788,1.1137,0.4723746180534363,0.00019317171717171718,21,1775858.0
