train/entropy,train/grad_norm,train/num_tokens,_step,_runtime,_timestamp,train/mean_token_accuracy,train/epoch,train/learning_rate,train/loss,train/global_step
0.9762914203107357,0.9977865219116211,98693.0,0,10.687480575,1764930069.3551342,0.6773515053093433,0.0016,3.6e-05,1.5337,10
1.1327480308711528,0.44981953501701355,193549.0,1,20.618603861,1764930079.2861853,0.7031420603394508,0.0032,7.6e-05,1.2655,20
1.1948198541998862,0.4445796012878418,276625.0,2,30.239611759,1764930088.9073026,0.7172671929001808,0.0048,0.000116,1.1536,30
1.0410326421260834,0.37724560499191284,364386.0,3,40.069109093,1764930098.7366598,0.7344179183244706,0.0064,0.00015600000000000002,1.0362,40
1.0066100858151912,0.3008885085582733,457066.0,4,49.641598128,1764930108.3093772,0.74347939863801,0.008,0.000196,0.997,50
0.993574246764183,0.40649107098579407,546627.0,5,59.240410498,1764930117.908007,0.7443107791244984,0.0096,0.0001990769230769231,0.9959,60
0.9337388291954994,0.3284153938293457,644352.0,6,69.24559622,1764930127.9131503,0.7576935544610024,0.0112,0.00019805128205128205,0.91,70
0.9889073874801397,0.42843785881996155,736491.0,7,79.124300366,1764930137.7919414,0.7438056044280529,0.0128,0.00019702564102564102,0.9954,80
0.8749204613268375,0.2931298017501831,834359.0,8,88.754083023,1764930147.421598,0.7709410592913628,0.0144,0.000196,0.8596,90
0.9099323660135269,0.3503327965736389,929734.0,9,98.473810471,1764930157.1415002,0.7624656453728675,0.016,0.000194974358974359,0.8866,100
0.8725910600274801,0.2713686525821686,1029934.0,10,108.202414254,1764930166.8700495,0.7685274161398411,0.0176,0.00019394871794871797,0.8716,110
0.9682898469269275,0.3674677312374115,1123325.0,11,118.052575564,1764930176.7201538,0.7428252622485161,0.0192,0.00019292307692307694,0.9713,120
0.9183625478297472,0.3078530430793762,1224878.0,12,127.755262972,1764930186.4230077,0.7606697112321854,0.0208,0.0001918974358974359,0.888,130
0.8558315023779869,0.26704007387161255,1315607.0,13,137.297795822,1764930195.9655008,0.7775033414363861,0.0224,0.00019087179487179489,0.8062,140
0.8904554709792137,0.2549384534358978,1414808.0,14,147.099994883,1764930205.7676382,0.7648209154605865,0.024,0.00018984615384615386,0.9004,150
0.8941718250513077,0.2648828327655792,1497755.0,15,156.784305584,1764930215.4520428,0.7696269892156125,0.0256,0.00018882051282051283,0.8719,160
0.8732433069497347,0.3014066815376282,1586110.0,16,166.231787429,1764930224.8994112,0.7702644020318985,0.0272,0.0001877948717948718,0.8485,170
0.9049698352813721,0.2732391655445099,1676536.0,17,175.856519744,1764930234.5241475,0.7628048814833164,0.0288,0.00018676923076923078,0.8802,180
0.8845444977283478,0.23772180080413818,1773667.0,18,185.550920255,1764930244.2185948,0.7661897107958794,0.0304,0.00018574358974358975,0.8642,190
0.8819089982658624,0.25884878635406494,1858643.0,19,195.000203582,1764930253.667891,0.7689359106123448,0.032,0.00018471794871794872,0.8553,200
0.9045212812721729,0.3167065680027008,1953187.0,20,205.250852314,1764930263.9185767,0.7650937050580978,0.0336,0.0001836923076923077,0.8656,210
0.86755930185318,0.2999785542488098,2050942.0,21,214.89190257,1764930273.559549,0.7712846897542477,0.0352,0.00018266666666666667,0.8524,220
0.9262874945998192,0.3297745883464813,2138334.0,22,224.436260106,1764930283.1038408,0.7544642582535743,0.0368,0.00018164102564102564,0.9253,230
0.8645037673413754,0.2941603660583496,2233866.0,23,234.137057195,1764930292.8045945,0.7689152002334595,0.0384,0.00018061538461538464,0.8783,240
0.8954562615603209,0.29102399945259094,2326605.0,24,243.791010396,1764930302.458729,0.7640397809445858,0.04,0.00017958974358974362,0.8676,250
0.9022914428263903,0.30743464827537537,2412566.0,25,253.146637376,1764930311.814274,0.7587566308677196,0.0416,0.00017856410256410256,0.8927,260
0.9222003653645515,0.2879749834537506,2506618.0,26,262.824372573,1764930321.4920766,0.7552758045494556,0.0432,0.00017753846153846154,0.9291,270
0.8296045228838921,0.23999829590320587,2601149.0,27,272.251910251,1764930330.919556,0.7729344591498375,0.0448,0.0001765128205128205,0.8343,280
0.8622984923422337,0.30523157119750977,2691541.0,28,281.803386169,1764930340.4709473,0.7695635378360748,0.0464,0.0001754871794871795,0.8409,290
0.9052707456052304,0.26842713356018066,2789205.0,29,291.601879766,1764930350.269517,0.7616493865847588,0.048,0.00017446153846153848,0.9236,300
0.8929678197950125,0.2693517208099365,2881384.0,30,300.957916291,1764930359.6256247,0.7641374729573727,0.0496,0.00017343589743589746,0.8737,310
0.8833684287965298,0.2836972177028656,2975014.0,31,310.507099836,1764930369.1746395,0.7617929905653,0.0512,0.0001724102564102564,0.8686,320
0.8851178098469973,0.29879218339920044,3068272.0,32,319.775946622,1764930378.4436584,0.7742974869906902,0.0528,0.0001713846153846154,0.8368,330
0.884552251547575,0.2983885109424591,3156217.0,33,329.024045627,1764930387.691819,0.7638768397271634,0.0544,0.00017035897435897437,0.8878,340
0.8786596857011318,0.34261205792427063,3249697.0,34,338.602837915,1764930397.270539,0.7657695412635803,0.056,0.00016933333333333335,0.8657,350
0.834387020021677,0.2734811305999756,3336282.0,35,347.974719857,1764930406.6423967,0.7711823716759681,0.0576,0.00016830769230769232,0.8479,360
0.9000569380819797,0.3053130507469177,3428250.0,36,357.387477368,1764930416.0550802,0.7611824817955494,0.0592,0.0001672820512820513,0.887,370
0.8744381859898567,0.32066813111305237,3520213.0,37,366.939906485,1764930425.6073763,0.7685669720172882,0.0608,0.00016625641025641027,0.8229,380
0.9239880681037903,0.25052595138549805,3618856.0,38,376.587105982,1764930435.254778,0.7512659445405007,0.0624,0.00016523076923076924,0.9412,390
0.8436200678348541,0.2563115060329437,3716629.0,39,386.15327223,1764930444.8207726,0.7764381490647793,0.064,0.0001642051282051282,0.809,400
0.8557581685483455,0.2500491738319397,3817013.0,40,396.491513488,1764930455.1592085,0.7715987972915173,0.0656,0.00016317948717948719,0.8466,410
0.8416693957522512,0.29400914907455444,3904179.0,41,405.826529459,1764930464.494196,0.7733460240066051,0.0672,0.00016215384615384616,0.8403,420
0.8665704909712076,0.25865575671195984,4001226.0,42,415.338167552,1764930474.0058947,0.7675189390778542,0.0688,0.00016112820512820513,0.867,430
0.8928172707557678,0.2882939875125885,4095535.0,43,424.903615727,1764930483.5713007,0.7599451646208764,0.0704,0.0001601025641025641,0.9164,440
0.8467000994831324,0.2773519456386566,4181830.0,44,433.94396692,1764930492.6116762,0.7757812961935997,0.072,0.00015907692307692308,0.8202,450
0.8339064843952656,0.28665784001350403,4272004.0,45,443.176556872,1764930501.8442194,0.774641652405262,0.0736,0.00015805128205128205,0.8283,460
0.8940625589340925,0.3170541822910309,4360961.0,46,452.325475691,1764930510.993243,0.7633208647370339,0.0752,0.00015702564102564102,0.8721,470
0.8565408963710069,0.2574955224990845,4455136.0,47,461.539865179,1764930520.2075799,0.7746435724198818,0.0768,0.00015600000000000002,0.8419,480
0.8943105541169644,0.25637444853782654,4551543.0,48,470.963298961,1764930529.6310768,0.7629821300506592,0.0784,0.000154974358974359,0.882,490
0.8497317677363754,0.24722124636173248,4647777.0,49,480.53768476,1764930539.2054636,0.7712803140282631,0.08,0.00015394871794871794,0.8288,500
0.862693453580141,0.27857035398483276,4738211.0,50,490.379248785,1764930549.0469813,0.7731920130550861,0.0816,0.00015292307692307692,0.8175,510
0.8652889192104339,0.26306796073913574,4830229.0,51,500.077362848,1764930558.7450864,0.767999493330717,0.0832,0.0001518974358974359,0.8441,520
0.8595347113907337,0.30815935134887695,4918455.0,52,509.335787169,1764930568.0033982,0.774830412864685,0.0848,0.0001508717948717949,0.8209,530
0.83945521004498,0.2907024621963501,5016464.0,53,518.890377435,1764930577.557888,0.7731261931359767,0.0864,0.00014984615384615386,0.8422,540
0.865492157265544,0.2958650290966034,5106563.0,54,528.471576607,1764930587.139303,0.768745268881321,0.088,0.00014882051282051284,0.8483,550
0.8961903110146523,0.35524335503578186,5194854.0,55,537.618412232,1764930596.2860043,0.7659045092761516,0.0896,0.00014779487179487178,0.853,560
0.9107835348695517,0.4030494689941406,5295927.0,56,547.049041049,1764930605.7167442,0.7616306275129319,0.0912,0.00014676923076923078,0.896,570
0.8958533570170403,0.3126998543739319,5391654.0,57,556.487020265,1764930615.154751,0.7675559565424919,0.0928,0.00014574358974358975,0.8464,580
0.8426702544093132,0.3044590950012207,5482154.0,58,565.758365769,1764930624.4261239,0.7720289215445518,0.0944,0.00014471794871794873,0.83,590
0.9148856285959482,0.2532047927379608,5575344.0,59,574.974806429,1764930633.6424806,0.763339027017355,0.096,0.0001436923076923077,0.8779,600
0.8329741261899472,0.29291582107543945,5670879.0,60,585.142874866,1764930643.8106372,0.775436744093895,0.0976,0.00014266666666666667,0.8289,610
0.8480445057153702,0.22739307582378387,5765202.0,61,594.6586713,1764930653.3264027,0.7801139958202838,0.0992,0.00014164102564102565,0.8163,620
0.8929186683148146,0.3025785982608795,5854188.0,62,604.059150018,1764930662.7266855,0.7604857549071312,0.1008,0.00014061538461538462,0.8805,630
0.8939754094928503,0.30347830057144165,5952696.0,63,613.554413769,1764930672.2220993,0.768227931857109,0.1024,0.0001395897435897436,0.8716,640
0.8272876508533955,0.29422181844711304,6043046.0,64,622.982020234,1764930681.6494462,0.778873497992754,0.104,0.00013856410256410257,0.8089,650
0.8313788309693336,0.2502014636993408,6139398.0,65,632.533001862,1764930691.200691,0.7758827731013298,0.1056,0.00013753846153846154,0.8295,660
0.9051368050277233,0.25728878378868103,6227622.0,66,641.893685606,1764930700.561446,0.7657705336809159,0.1072,0.00013651282051282054,0.8701,670
0.8482040915638208,0.28338703513145447,6322169.0,67,651.62919204,1764930710.2968814,0.7698342345654965,0.1088,0.00013548717948717949,0.8364,680
0.8813480511307716,0.3218798041343689,6420415.0,68,661.46742036,1764930720.1350064,0.7662497006356717,0.1104,0.00013446153846153846,0.8803,690
0.8767507918179035,0.2942008078098297,6511729.0,69,670.921736487,1764930729.589434,0.7663949936628341,0.112,0.00013343589743589743,0.8492,700
0.8141549093648791,0.29505491256713867,6602293.0,70,680.263075963,1764930738.9305902,0.7842487610876561,0.1136,0.0001324102564102564,0.7911,710
0.8441429577767849,0.2675219178199768,6690407.0,71,689.563161651,1764930748.230756,0.7792974911630154,0.1152,0.0001313846153846154,0.7969,720
0.8308141332119703,0.2842921018600464,6780660.0,72,699.0070145,1764930757.6746929,0.7762563467025757,0.1168,0.00013035897435897438,0.7972,730
0.8155670125037432,0.2673569619655609,6879725.0,73,708.504304832,1764930767.1720312,0.785614188015461,0.1184,0.00012933333333333332,0.7782,740
0.8666596721857787,0.2739216387271881,6978940.0,74,717.951274885,1764930776.6190517,0.7652872763574123,0.12,0.0001283076923076923,0.8557,750
0.8830114018172026,0.28765180706977844,7072159.0,75,727.449214665,1764930786.1167712,0.7663826830685139,0.1216,0.0001272820512820513,0.8649,760
0.8409753978252411,0.2250414490699768,7164876.0,76,737.220049412,1764930795.887531,0.770345664024353,0.1232,0.00012625641025641027,0.8298,770
