train/learning_rate,_step,_runtime,train/grad_norm,train/num_tokens,train/mean_token_accuracy,train/epoch,train/entropy,train/global_step,train/loss,_timestamp
3.6e-05,0,16.177866339,0.6151665449142456,54076.0,0.7001348629593849,0.0008,0.8860318571329117,10,1.4357,1764930080.2323325
7.6e-05,1,30.694040309000002,0.4333858788013458,98135.0,0.7215239569544792,0.0016,1.0009029760956765,20,1.1824,1764930094.7485058
0.000116,2,46.092952724,0.38340452313423157,149129.0,0.7331079944968224,0.0024,1.0705492317676544,30,1.0311,1764930110.1473935
0.00015600000000000002,3,61.614140136,0.35040000081062317,197684.0,0.7514285907149315,0.0032,0.9326653867959976,40,0.9462,1764930125.6684716
0.000196,4,76.339784251,0.2472039759159088,244131.0,0.7737483963370323,0.004,0.8466950364410877,50,0.8282,1764930140.3940864
0.0001990769230769231,5,91.97962049,0.37835535407066345,291904.0,0.7692021042108536,0.0048,0.84121353328228,60,0.8672,1764930156.0339794
0.00019805128205128205,6,106.517235131,0.293795645236969,333085.0,0.780436958372593,0.0056,0.8250722274184227,70,0.7988,1764930170.5717716
0.00019702564102564102,7,121.926268179,0.2725825309753418,386437.0,0.7815741449594498,0.0064,0.8269584260880947,80,0.7968,1764930185.9807646
0.000196,8,136.568189212,0.21438661217689514,435132.0,0.777474370598793,0.0072,0.8235949575901031,90,0.7929,1764930200.6227093
0.000194974358974359,9,151.412713476,0.2993747889995575,482631.0,0.7870747327804566,0.008,0.7845038414001465,100,0.7536,1764930215.4672146
0.00019394871794871797,10,166.222786253,0.26273399591445923,529743.0,0.7827703446149826,0.0088,0.8030928149819374,110,0.7902,1764930230.2773721
0.00019292307692307694,11,181.539831284,0.2720809578895569,576523.0,0.7819942653179168,0.0096,0.8080542296171188,120,0.7944,1764930245.5936916
0.0001918974358974359,12,196.61374538,0.23731738328933716,621467.0,0.7776296466588974,0.0104,0.8126965127885342,130,0.8012,1764930260.6682587
0.00019087179487179489,13,211.495901437,0.25039511919021606,669555.0,0.7707316979765892,0.0112,0.8276456005871295,140,0.8388,1764930275.5503097
0.00018984615384615386,14,226.809195929,0.21297937631607056,720125.0,0.7835815772414207,0.012,0.8067641694098711,150,0.7518,1764930290.8637295
0.00018882051282051283,15,241.370133055,0.22586464881896973,765458.0,0.7854364931583404,0.0128,0.7748824022710323,160,0.8039,1764930305.424767
0.0001877948717948718,16,255.832357588,0.23796850442886353,810529.0,0.778642812371254,0.0136,0.8030700065195561,170,0.7858,1764930319.8869717
0.00018676923076923078,17,270.296800089,0.21755418181419373,851677.0,0.7995877712965012,0.0144,0.7310095146298409,180,0.7034,1764930334.351075
