train/grad_norm,train/global_step,train/loss,train/mean_token_accuracy,train/entropy,train/num_tokens,train/learning_rate,_runtime,_timestamp,_step,train/epoch
0.9211564064025879,10,1.4108,0.7035167329013348,0.8933286845684052,87357.0,3.6e-05,38.748635643,1764930109.8081772,0,0.0016
0.580326497554779,20,1.0123,0.7472138114273548,0.9604240678250789,180322.0,7.6e-05,76.24137043,1764930147.3011355,1,0.0032
0.24947769939899445,30,0.8319,0.7769540481269359,0.8417488086968661,264148.0,0.000116,111.841044249,1764930182.9007397,2,0.0048
0.30482545495033264,40,0.8561,0.7689812935888767,0.8525897912681103,347214.0,0.00015600000000000002,147.231901988,1764930218.2915723,3,0.0064
0.26241979002952576,50,0.7596,0.7848118960857391,0.7628997460007667,430741.0,0.000196,183.25661949,1764930254.3162591,4,0.008
0.2646852731704712,60,0.7094,0.7988186553120613,0.7297218218445778,520538.0,0.0001990769230769231,220.758221508,1764930291.8179965,5,0.0096
0.24406564235687256,70,0.7102,0.7918004915118217,0.7431263826787472,600770.0,0.00019805128205128205,256.251229567,1764930327.3109686,6,0.0112
0.2797374427318573,80,0.733,0.7927608840167523,0.747537600621581,688058.0,0.00019702564102564102,292.226479008,1764930363.2861784,7,0.0128
0.2641909420490265,90,0.7485,0.7894065909087657,0.7519392270594836,766545.0,0.000196,327.035243452,1764930398.0950065,8,0.0144
0.21445691585540771,100,0.7631,0.7845759570598603,0.7573105148971081,844878.0,0.000194974358974359,361.650716598,1764930432.7104435,9,0.016
0.2111305147409439,110,0.7242,0.7885653235018253,0.7420641612261534,924993.0,0.00019394871794871797,396.650811985,1764930467.7105842,10,0.0176
0.19991394877433777,120,0.6821,0.8015912912786007,0.7028388131409884,1008430.0,0.00019292307692307694,432.573470736,1764930503.6332154,11,0.0192
0.3242976665496826,130,0.6464,0.811397597193718,0.6733683317899704,1091602.0,0.0001918974358974359,468.011605757,1764930539.071313,12,0.0208
0.27325430512428284,140,0.6728,0.8022063717246055,0.7045048274099827,1181159.0,0.00019087179487179489,504.214293879,1764930575.2739701,13,0.0224
0.20089209079742432,150,0.7254,0.7913867600262166,0.7299723286181689,1266768.0,0.00018984615384615386,540.657835553,1764930611.717497,14,0.024
0.27277234196662903,160,0.6964,0.7992740534245968,0.7341430336236954,1346477.0,0.00018882051282051283,576.724040645,1764930647.783691,15,0.0256
0.22010675072669983,170,0.7507,0.786050270497799,0.7786034442484379,1440176.0,0.0001877948717948718,614.167386857,1764930685.2271492,16,0.0272
0.2236103117465973,180,0.7379,0.7876649491488934,0.7546474555507302,1518130.0,0.00018676923076923078,650.077326064,1764930721.137107,17,0.0288
0.23359866440296173,190,0.6693,0.8077646203339099,0.6803300209343434,1601168.0,0.00018574358974358975,685.600081325,1764930756.659665,18,0.0304
0.2378769963979721,200,0.6962,0.7981680124998093,0.7237413357943296,1680569.0,0.00018471794871794872,722.009117443,1764930793.0686905,19,0.032
0.2973194122314453,210,0.6748,0.8004860535264016,0.7202812064439058,1759967.0,0.0001836923076923077,759.969947334,1764930831.029641,20,0.0336
0.2574654519557953,220,0.7347,0.7861245900392533,0.7669087935239076,1842097.0,0.00018266666666666667,795.874655331,1764930866.9343545,21,0.0352
0.2651970088481903,230,0.6501,0.8120509728789329,0.6737947184592485,1927304.0,0.00018164102564102564,832.01057376,1764930903.070351,22,0.0368
0.21596671640872955,240,0.7087,0.7925469569861889,0.7315075147897006,2013367.0,0.00018061538461538464,868.754348144,1764930939.8139348,23,0.0384
0.29466915130615234,250,0.7168,0.7950424440205097,0.7163940265774726,2096599.0,0.00017958974358974362,905.283981469,1764930976.34371,24,0.04
0.22864779829978943,260,0.6441,0.8099084466695785,0.6649357920512557,2180858.0,0.00017856410256410256,941.927193254,1764931012.9869573,25,0.0416
0.2324490249156952,270,0.7003,0.7961306653916835,0.7095919705927372,2263097.0,0.00017753846153846154,977.833840272,1764931048.8936148,26,0.0432
0.20130343735218048,280,0.6625,0.8062945663928985,0.6852692227810622,2350358.0,0.0001765128205128205,1014.846675451,1764931085.9064126,27,0.0448
0.207988902926445,290,0.653,0.8080956473946571,0.6785687740892172,2439858.0,0.0001754871794871795,1051.773195243,1764931122.8328965,28,0.0464
0.22602346539497375,300,0.6713,0.8015698552131653,0.6906839074566961,2522274.0,0.00017446153846153848,1088.607461685,1764931159.6670177,29,0.048
0.2522921562194824,310,0.6857,0.7969199761748313,0.709098169580102,2609297.0,0.00017343589743589746,1125.074906885,1764931196.1344635,30,0.0496
0.23870402574539185,320,0.7439,0.7880190454423428,0.7351333048194647,2692447.0,0.0001724102564102564,1161.271318261,1764931232.3308926,31,0.0512
0.22628536820411682,330,0.6408,0.8081345736980439,0.6753325119614602,2777245.0,0.0001713846153846154,1198.540908387,1764931269.6005023,32,0.0528
0.19661769270896912,340,0.697,0.798777486383915,0.6756214506924152,2867426.0,0.00017035897435897437,1235.668317111,1764931306.7279527,33,0.0544
0.21253110468387604,350,0.6979,0.7979399621486664,0.7092851113528014,2949288.0,0.00016933333333333335,1272.201533994,1764931343.2611744,34,0.056
0.2811824083328247,360,0.7085,0.7982580110430717,0.7019457776099444,3032321.0,0.00016830769230769232,1308.40016983,1764931379.459645,35,0.0576
0.24199409782886505,370,0.6827,0.7987167641520501,0.6859617389738559,3115832.0,0.0001672820512820513,1345.138763326,1764931416.198399,36,0.0592
0.24980412423610687,380,0.6767,0.8005859941244126,0.7110099788755179,3202322.0,0.00016625641025641027,1381.648857582,1764931452.7085888,37,0.0608
0.2673390805721283,390,0.6659,0.8034957356750965,0.6835367318242789,3287658.0,0.00016523076923076924,1418.622231791,1764931489.6819353,38,0.0624
0.2149631679058075,400,0.699,0.797782088816166,0.7135890543460846,3371287.0,0.0001642051282051282,1455.052052011,1764931526.111805,39,0.064
0.2612150013446808,410,0.7215,0.7920196637511253,0.7405224133282899,3456731.0,0.00016317948717948719,1493.409406452,1764931564.4689016,40,0.0656
0.20955604314804077,420,0.6822,0.8018018782138825,0.6858629053458571,3540276.0,0.00016215384615384616,1530.132512139,1764931601.1921656,41,0.0672
0.2583601176738739,430,0.6727,0.7989298433065415,0.6914017282426357,3626140.0,0.00016112820512820513,1566.154943162,1764931637.2146327,42,0.0688
0.23285767436027527,440,0.6322,0.8107492089271545,0.663373688608408,3706685.0,0.0001601025641025641,1601.454033469,1764931672.5138469,43,0.0704
0.27066975831985474,450,0.7277,0.7922246009111404,0.7151362333446741,3787733.0,0.00015907692307692308,1638.031878068,1764931709.0915382,44,0.072
0.22086505591869354,460,0.696,0.7992504574358463,0.7221546310931444,3872514.0,0.00015805128205128205,1674.173911063,1764931745.2335641,45,0.0736
0.2391500025987625,470,0.6458,0.8092145301401615,0.6610143098980188,3953306.0,0.00015702564102564102,1709.867463995,1764931780.9271557,46,0.0752
0.2213553935289383,480,0.6897,0.799802801758051,0.717700432240963,4033497.0,0.00015600000000000002,1746.249790802,1764931817.309521,47,0.0768
0.2743968069553375,490,0.7021,0.7977177135646343,0.6984837293624878,4115287.0,0.000154974358974359,1782.323623673,1764931853.3833477,48,0.0784
0.23521265387535095,500,0.6215,0.816123130172491,0.6620606366544962,4199941.0,0.00015394871794871794,1818.241483234,1764931889.3011875,49,0.08
0.23041635751724243,510,0.6781,0.7978585287928581,0.7144054923206568,4279505.0,0.00015292307692307692,1853.58106442,1764931924.6407008,50,0.0816
0.2143111228942871,520,0.6373,0.8115123644471168,0.6685862388461828,4371290.0,0.0001518974358974359,1890.016862182,1764931961.0765214,51,0.0832
0.21659919619560242,530,0.661,0.8027501478791237,0.6746461085975171,4462705.0,0.0001508717948717949,1926.570021233,1764931997.6295414,52,0.0848
