train/global_step,train/learning_rate,_step,train/entropy,_runtime,_timestamp,train/grad_norm,train/mean_token_accuracy,train/loss,train/num_tokens,train/epoch
10,3.6e-05,0,0.9243588440120221,17.192306691,1764933458.3432398,1.092973232269287,0.6983207769691944,1.4093,90977.0,0.0015655577299412916
20,7.6e-05,1,1.0737613700330257,33.605596318,1764933474.7565868,0.43363630771636963,0.7078969269990921,1.2374,188216.0,0.0031311154598825833
30,0.000116,2,1.1430934816598892,50.951152874,1764933492.1019588,0.28602614998817444,0.7319685399532319,1.0533,283444.0,0.004696673189823875
40,0.00015600000000000002,3,0.9221746355295182,67.92533409,1764933509.0762975,0.1991235911846161,0.7589920930564403,0.9141,381054.0,0.0062622309197651665
50,0.000196,4,0.9970248147845269,84.316719904,1764933525.4673467,0.2230239361524582,0.7519383080303669,0.929,473943.0,0.007827788649706457
60,0.00019963636363636364,5,0.8972666591405869,100.404215834,1764933541.5552235,0.4742219150066376,0.7652462296187877,0.9007,556023.0,0.00939334637964775
70,0.00019923232323232324,6,0.8241430170834064,117.212756154,1764933558.3637652,0.23085902631282806,0.7785272434353828,0.8044,650763.0,0.010958904109589041
80,0.00019882828282828284,7,0.7947247147560119,134.030536931,1764933575.1814718,0.1949213445186615,0.7866198047995567,0.77,742979.0,0.012524461839530333
90,0.00019842424242424243,8,0.8322941031306982,150.84834104,1764933591.9992704,0.19691748917102814,0.7727916486561298,0.8293,835935.0,0.014090019569471625
100,0.00019802020202020203,9,0.7861992344260216,167.227544352,1764933608.3785346,0.20655988156795502,0.7842146053910255,0.7503,928280.0,0.015655577299412915
110,0.00019761616161616163,10,0.864141558855772,183.973335035,1764933625.1242223,0.18949075043201447,0.7690815202891826,0.8504,1023826.0,0.01722113502935421
120,0.00019721212121212123,11,0.845497615635395,200.473903461,1764933641.6247694,0.16942116618156433,0.7707269825041294,0.8291,1114138.0,0.0187866927592955
130,0.00019680808080808082,12,0.8541942857205868,217.95035108,1764933659.101285,0.18553370237350464,0.7685362331569194,0.8287,1219031.0,0.020352250489236792
140,0.00019640404040404042,13,0.8671452697366476,233.82718148,1764933674.9781048,0.19136184453964233,0.7680429555475712,0.8392,1310769.0,0.021917808219178082
150,0.000196,14,0.8281528037041426,249.815294231,1764933690.9662886,0.20477189123630524,0.7724850378930569,0.7856,1402149.0,0.023483365949119372
160,0.0001955959595959596,15,0.7983257424086332,266.278039708,1764933707.4290407,0.20314690470695496,0.7798232898116112,0.7916,1499088.0,0.025048923679060666
170,0.0001951919191919192,16,0.7485050011426211,282.241711507,1764933723.3927643,0.18121051788330078,0.7984759204089642,0.7087,1590455.0,0.026614481409001956
180,0.00019478787878787881,17,0.8273989047855139,297.96217989,1764933739.1130977,0.20622608065605164,0.7792980894446373,0.7953,1677203.0,0.02818003913894325
190,0.0001943838383838384,18,0.8439307495951652,314.027719168,1764933755.1787572,0.23455224931240082,0.7732176430523395,0.8055,1766827.0,0.02974559686888454
200,0.00019397979797979798,19,0.7985440745949746,330.079341574,1764933771.2303202,0.2283996194601059,0.785611616820097,0.7636,1853292.0,0.03131115459882583
210,0.00019357575757575758,20,0.7751415394246578,347.880487385,1764933789.0314786,0.2739202678203583,0.7879226073622704,0.7469,1946504.0,0.03287671232876712
220,0.00019317171717171718,21,0.7697676699608564,364.416405279,1764933805.567411,0.19398728013038635,0.7890820592641831,0.7598,2032157.0,0.03444227005870842
