train/entropy,_step,train/mean_token_accuracy,train/num_tokens,_runtime,train/loss,train/grad_norm,train/learning_rate,train/epoch,_timestamp,train/global_step
0.8820901989936829,0,0.7045283704996109,95588.0,23.988288059,1.3941,0.7252851128578186,6.3e-05,0.0016,1764972894.7014496,10
1.0551327556371688,1,0.7244235649704933,191487.0,48.378616935,1.1285,0.2811996042728424,0.000133,0.0032,1764972919.0919223,20
0.9126762762665749,2,0.7620758891105652,281289.0,71.902296133,0.8976,0.20839643478393555,0.00020299999999999997,0.0048,1764972942.6156678,30
0.8727867543697357,3,0.7642785742878914,375343.0,96.377047431,0.8654,0.20713122189044952,0.000273,0.0064,1764972967.0902877,40
0.830875001102686,4,0.7785456091165542,471030.0,119.889340775,0.8147,0.3086737394332886,0.000343,0.008,1764972990.602535,50
0.7984145350754261,5,0.7784822776913642,563686.0,142.907431469,0.8036,0.21867063641548157,0.0003483846153846154,0.0096,1764973013.6208029,60
0.8310307800769806,6,0.7702364265918732,655994.0,167.627398412,0.8404,0.2081652134656906,0.00034658974358974356,0.0112,1764973038.3406572,70
0.8045860022306442,7,0.7844852939248085,750241.0,192.031002225,0.7876,0.16380859911441803,0.0003447948717948718,0.0128,1764973062.7442715,80
0.759864304214716,8,0.791442584991455,836460.0,213.93245081,0.7458,0.1721421331167221,0.000343,0.0144,1764973084.6455643,90
0.8028346754610538,9,0.7838333025574684,928589.0,238.152897872,0.8107,0.1784774661064148,0.0003412051282051282,0.016,1764973108.866279,100
0.8232701927423477,10,0.7750398620963097,1025934.0,262.549783851,0.8185,0.19147376716136932,0.0003394102564102564,0.0176,1764973133.263172,110
0.7496113523840904,11,0.7928688824176788,1126377.0,286.937619847,0.724,0.17713966965675354,0.0003376153846153846,0.0192,1764973157.6509848,120
0.79536959156394,12,0.7836345255374908,1221476.0,311.712178978,0.7937,0.1588720679283142,0.00033582051282051285,0.0208,1764973182.4255373,130
0.8005543872714043,13,0.7748484671115875,1311266.0,334.872991167,0.8091,0.16487933695316315,0.000334025641025641,0.0224,1764973205.583101,140
0.8052662238478661,14,0.7773266285657883,1397355.0,357.699418881,0.8114,0.18749670684337616,0.00033223076923076923,0.024,1764973228.4128525,150
0.7228297971189022,15,0.798770709335804,1497155.0,383.001541052,0.7219,0.15343345701694489,0.0003304358974358974,0.0256,1764973253.7149587,160
0.7360902018845081,16,0.7914092540740967,1586623.0,406.395458822,0.7296,0.23705582320690155,0.00032864102564102567,0.0272,1764973277.1086822,170
0.7223418936133384,17,0.7976018637418747,1681877.0,429.2198353,0.714,0.2109856754541397,0.00032684615384615386,0.0288,1764973299.9328134,180
0.7327769011259079,18,0.7911666050553322,1771658.0,452.741928985,0.7527,0.1696815937757492,0.00032505128205128204,0.0304,1764973323.455301,190
0.7350917309522629,19,0.8003650411963463,1862340.0,476.470371794,0.7133,0.18544743955135345,0.00032325641025641023,0.032,1764973347.1837363,200
0.8502292409539223,20,0.7672216445207596,1953837.0,500.478851987,0.8266,0.16270564496517181,0.0003214615384615385,0.0336,1764973371.1922662,210
0.7402485184371471,21,0.792196249961853,2048322.0,524.21083126,0.7526,0.20769019424915314,0.00031966666666666667,0.0352,1764973394.9242218,220
0.7622794434428215,22,0.7836722359061241,2141394.0,547.719354586,0.7586,0.16826973855495453,0.00031787179487179486,0.0368,1764973418.4323728,230
0.7331401191651821,23,0.7961260497570037,2229351.0,571.38085842,0.7153,0.17179110646247864,0.0003160769230769231,0.0384,1764973442.0940964,240
0.7568242825567723,24,0.800511647760868,2324821.0,595.744088672,0.7101,0.20118439197540283,0.0003142820512820513,0.04,1764973466.457421,250
0.829109475761652,25,0.7733877286314964,2420425.0,619.663674678,0.8219,0.16698113083839417,0.0003124871794871795,0.0416,1764973490.3770766,260
0.7613977015018463,26,0.7849466562271118,2513910.0,643.773202508,0.7664,0.22319576144218445,0.00031069230769230767,0.0432,1764973514.486611,270
0.7022515438497067,27,0.8087722018361092,2604929.0,666.819167151,0.6763,0.19108547270298004,0.0003088974358974359,0.0448,1764973537.5325003,280
0.7703465275466442,28,0.7856501296162606,2699659.0,690.193112579,0.7703,0.1816435009241104,0.0003071025641025641,0.0464,1764973560.9063687,290
0.7912875711917877,29,0.785510142147541,2787164.0,711.715630738,0.7656,0.1833755224943161,0.0003053076923076923,0.048,1764973582.4290004,300
0.8058793246746063,30,0.7787980139255524,2883477.0,735.846403367,0.7879,0.22211627662181854,0.00030351282051282053,0.0496,1764973606.5598161,310
0.7363859057426453,31,0.789275361597538,2979919.0,759.957918508,0.7408,0.24725230038166046,0.0003017179487179487,0.0512,1764973630.6712542,320
0.7657078392803669,32,0.7884130239486694,3063465.0,781.980489344,0.7504,0.20522484183311462,0.0002999230769230769,0.0528,1764973652.693845,330
