train/num_tokens,train/mean_token_accuracy,train/epoch,train/grad_norm,train/learning_rate,_step,train/loss,train/entropy,train/global_step,_runtime,_timestamp
95588.0,0.6996965274214745,0.0016,0.8323865532875061,3.6e-05,0,1.4251,0.8902662843465805,10,18.408839247,1764936314.5949593
191487.0,0.7096699759364128,0.0032,0.32158875465393066,7.6e-05,1,1.228,1.0324958384037017,20,35.626950656,1764936331.8130202
750241.0,0.7793702438473702,0.0128,0.2171238213777542,0.0001997675350701403,7,0.8003,0.8221631934866309,80,138.30635157,1764936434.4923863
836460.0,0.7866535261273384,0.0144,0.19275975227355957,0.00019968737474949903,8,0.7546,0.7790322743356228,90,155.039952132,1764936451.226091
928589.0,0.7790045700967312,0.016,0.20173491537570953,0.00019960721442885773,9,0.8183,0.8148218773305416,100,172.171810205,1764936468.357811
1126377.0,0.7889131367206573,0.0192,0.18970444798469543,0.00019944689378757516,11,0.7299,0.7588770370930433,120,207.293618677,1764936503.479605
1397355.0,0.7757950715720654,0.024,0.20910023152828217,0.00019920641282565133,14,0.8191,0.8212794229388237,150,258.413906325,1764936554.6000164
1586623.0,0.7909773364663124,0.0272,0.2351464033126831,0.00019904609218436873,16,0.7357,0.7635736782103777,170,293.230449743,1764936589.4165633
2604929.0,0.8065341904759407,0.0448,0.24761568009853363,0.00019816432865731466,27,0.681,0.7248866565525531,280,483.503203843,1764936779.689465
2699659.0,0.781270157545805,0.0464,0.1784212291240692,0.00019808416833667336,28,0.7747,0.796849462762475,290,500.687991866,1764936796.8741207
2883477.0,0.777688542753458,0.0496,0.21361027657985687,0.0001979238476953908,30,0.7919,0.8198222953826189,310,534.447330287,1764936830.6334994
2979919.0,0.7907468989491463,0.0512,0.24642202258110046,0.0001978436873747495,31,0.7455,0.757119693979621,320,551.664348124,1764936847.8504965
3156362.0,0.7969330877065659,0.0544,0.18938010931015015,0.00019768336673346696,33,0.713,0.7419897008687257,340,585.156391552,1764936881.342517
3886709.0,0.7884846821427345,0.0672,0.18335339426994324,0.0001970420841683367,41,0.7208,0.7587800115346909,420,721.357127605,1764937017.5433795
3979701.0,0.7913376159965992,0.0688,0.22231422364711761,0.0001969619238476954,42,0.7512,0.7760195817798377,430,738.190593181,1764937034.376693
4066620.0,0.7755122937262058,0.0704,0.17198733985424042,0.00019688176352705412,43,0.8146,0.793935464322567,440,755.150310046,1764937051.3364043
4156524.0,0.7906577602028847,0.072,0.17925508320331573,0.00019680160320641283,44,0.7323,0.7464721774682402,450,772.215449663,1764937068.401556
4250733.0,0.7773370884358883,0.0736,0.20111805200576782,0.00019672144288577156,45,0.8055,0.8231250824406743,460,789.290550353,1764937085.4765503
4341947.0,0.7910229466855526,0.0752,0.18128542602062225,0.0001966412825651303,46,0.7453,0.7594799850136041,470,805.973987041,1764937102.160119
4432985.0,0.7853697799146175,0.0768,0.19978387653827667,0.000196561122244489,47,0.7739,0.7737362582236529,480,823.472585166,1764937119.6587484
4526400.0,0.7781338706612587,0.0784,0.2144242227077484,0.0001964809619238477,48,0.7944,0.811377077922225,490,840.337673057,1764937136.5238113
4893087.0,0.7830307319760322,0.0848,0.17629681527614594,0.0001961603206412826,52,0.7797,0.8018917836248874,530,907.456136843,1764937203.6420443
5085383.0,0.7837280675768852,0.088,0.18159334361553192,0.000196,54,0.767,0.7808231752365827,550,941.604831207,1764937237.7911017
5175257.0,0.7837723441421985,0.0896,0.18686015903949738,0.00019591983967935872,55,0.7747,0.7858928494155407,560,957.975554691,1764937254.161773
5450505.0,0.7883419878780842,0.0944,0.19474472105503082,0.0001956793587174349,58,0.7606,0.7775415409356355,590,1007.457313028,1764937303.6435323
5648880.0,0.785461314022541,0.0976,0.17722171545028687,0.0001955190380761523,60,0.7665,0.7713521208614111,610,1044.091756978,1764937340.277762
5741444.0,0.7859067164361477,0.0992,0.1694665104150772,0.00019543887775551105,61,0.7595,0.7823826670646667,620,1061.315589636,1764937357.50174
6009365.0,0.7808579050004483,0.104,0.23866987228393555,0.0001951983967935872,64,0.7966,0.7912052638828755,650,1111.951367282,1764937408.1375582
6286534.0,0.7983576722443104,0.1088,0.17316146194934845,0.00019495791583166335,67,0.7167,0.7246682420372963,680,1163.265481402,1764937459.4516015
6477376.0,0.7991643592715263,0.112,0.19630731642246246,0.00019479759519038076,69,0.7072,0.70198944658041,700,1198.187952639,1764937494.3740597
6848021.0,0.7842031136155129,0.1184,0.19912311434745789,0.00019447695390781565,73,0.7704,0.782348245382309,740,1266.870050272,1764937563.0561965
6936489.0,0.7887412078678608,0.12,0.22902101278305054,0.00019439679358717435,74,0.7475,0.7557999359443783,750,1284.226593695,1764937580.4128056
7135272.0,0.7964825160801411,0.1232,0.17668874561786652,0.0001942364729458918,76,0.7379,0.7556063001975417,770,1319.588304372,1764937615.7743614
7223780.0,0.7920599631965161,0.1248,0.2158220112323761,0.00019415631262525052,77,0.721,0.7352825716137886,780,1336.226610669,1764937632.4127138
7310798.0,0.7768796257674694,0.1264,0.20429229736328125,0.00019407615230460922,78,0.8171,0.8058705616742372,790,1352.991561115,1764937649.1777685
7778156.0,0.7808261781930923,0.1344,0.19257891178131104,0.00019367535070140282,83,0.7802,0.8190016698092222,840,1440.628612151,1764937736.8146338
7964769.0,0.7791566208004952,0.1376,0.20787248015403748,0.00019351503006012025,85,0.7834,0.7919597793370485,860,1474.536183026,1764937770.722241
8063995.0,0.796374860405922,0.1392,0.18996569514274597,0.00019343486973947898,86,0.7101,0.7243190743029118,870,1491.996547321,1764937788.1826985
8251717.0,0.7901262104511261,0.1424,0.167363703250885,0.0001932745490981964,88,0.7086,0.7534937789663673,890,1525.955819948,1764937822.1420693
8438116.0,0.806351476162672,0.1456,0.20757481455802917,0.00019311422845691382,90,0.6685,0.7012467106804252,910,1560.016778457,1764937856.2028992
8829501.0,0.7913178950548172,0.152,0.1910886913537979,0.0001927935871743487,94,0.7495,0.7648653615266084,950,1627.932937833,1764937924.1191585
8919758.0,0.7824441380798817,0.1536,0.22627565264701843,0.00019271342685370745,95,0.7508,0.7598880702629686,960,1644.623672462,1764937940.8098166
9264252.0,0.7894872792065144,0.16,0.21947018802165985,0.00019239278557114229,99,0.7323,0.7647062052041292,1000,1709.66055242,1764938005.8466687
9549965.0,0.8123522013425827,0.1648,0.16623272001743317,0.00019215230460921845,102,0.6785,0.6865839924663305,1030,1762.494622187,1764938058.6807442
9748182.0,0.7906990639865399,0.168,0.18650411069393158,0.00019199198396793588,104,0.7386,0.7454341765493154,1050,1797.359966775,1764938093.546112
9936103.0,0.7839527517557144,0.1712,0.21230509877204895,0.00019183166332665332,106,0.777,0.7849158566445112,1070,1831.700426082,1764938127.8865595
10111068.0,0.7854826271533966,0.1744,0.2298341542482376,0.00019167134268537075,108,0.7399,0.7652983359992505,1090,1864.767838524,1764938160.9540787
10197980.0,0.79211855083704,0.176,0.2371688336133957,0.00019159118236472945,109,0.7154,0.7677443712949753,1100,1881.567673361,1764938177.7538247
10465992.0,0.7956556394696236,0.1808,0.21204333007335663,0.00019135070140280562,112,0.7604,0.7471093390136957,1130,1932.374670427,1764938228.5606782
11015569.0,0.7842912390828133,0.1904,0.2577563524246216,0.00019086973947895792,118,0.7755,0.7964923311024904,1190,2035.460884048,1764938331.6469364
11106036.0,0.8019972808659077,0.192,0.22718071937561035,0.00019078957915831662,119,0.6876,0.7062969513237476,1200,2052.758420484,1764938348.9444156
11189764.0,0.7775050267577172,0.1936,0.26261013746261597,0.00019070941883767538,120,0.7919,0.7979270134121179,1210,2070.979180221,1764938367.1652973
11384555.0,0.7973034374415875,0.1968,0.2446201592683792,0.00019054909819639278,122,0.7017,0.7314281538128853,1230,2105.287821576,1764938401.4740236
11578436.0,0.8032891638576984,0.2,0.20584866404533386,0.00019038877755511022,124,0.6725,0.7094967510551214,1250,2139.874184122,1764938436.0604131
12424827.0,0.7954010114073753,0.2144,0.2667573392391205,0.00018966733466933868,133,0.7016,0.7456371005624532,1340,2295.645486052,1764938591.831642
12690097.0,0.79485072940588,0.2192,0.21899265050888062,0.00018942685370741485,136,0.7224,0.7221624165773392,1370,2345.703218284,1764938641.8893895
12776029.0,0.8108917273581028,0.2208,0.20373870432376862,0.00018934669338677355,137,0.6389,0.6866971801966428,1380,2362.408385034,1764938658.5944657
13229559.0,0.8002128951251507,0.2288,0.17876572906970978,0.00018894589178356715,142,0.6918,0.7220408458262682,1430,2447.664615613,1764938743.8507211
13325017.0,0.8037918359041214,0.2304,0.21608927845954895,0.00018886573146292585,143,0.7082,0.7108012586832047,1440,2464.920357638,1764938761.1066182
13697325.0,0.7983779855072498,0.2368,0.26666203141212463,0.00018854509018036072,147,0.7141,0.7325582280755043,1480,2532.280173644,1764938828.4662519
13872056.0,0.7880281068384647,0.24,0.18035052716732025,0.00018838476953907818,149,0.7493,0.7540701102465391,1500,2565.30133376,1764938861.4875097
13957328.0,0.7955259911715984,0.2416,0.25355514883995056,0.00018830460921843688,150,0.7153,0.7169045962393283,1510,2583.098142255,1764938879.2841787
14230912.0,0.8012889198958874,0.2464,0.21024268865585327,0.00018806412825651302,153,0.6744,0.7169698808342219,1540,2633.658497876,1764938929.8446786
14419941.0,0.7934544160962105,0.2496,0.2410500943660736,0.00018790380761523048,155,0.7232,0.742431877925992,1560,2668.362149869,1764938964.548238
14594199.0,0.7914033748209477,0.2528,0.2027439922094345,0.0001877434869739479,157,0.702,0.7520120978355408,1580,2701.690127569,1764938997.8763855
14776277.0,0.7980644769966603,0.256,0.25762274861335754,0.00018758316633266534,159,0.7276,0.7071389179676771,1600,2735.288793068,1764939031.4749794
14969741.0,0.7957226365804673,0.2592,0.2149018496274948,0.00018742284569138278,161,0.7204,0.7680451456457377,1620,2770.977453136,1764939067.1635668
15059589.0,0.8056386984884739,0.2608,0.19097360968589783,0.00018734268537074148,162,0.6559,0.7107918191701174,1630,2787.652055589,1764939083.8379095
15425571.0,0.794091472774744,0.2672,0.1986079066991806,0.00018702204408817637,166,0.72,0.7633576106280089,1670,2856.315246523,1764939152.5013213
15519200.0,0.7768903687596321,0.2688,0.2668457627296448,0.00018694188376753508,167,0.7767,0.7920789018273353,1680,2873.148572773,1764939169.334651
15718502.0,0.8002399057149887,0.272,0.23037973046302795,0.0001867815631262525,169,0.7007,0.7159174121916294,1700,2907.919536295,1764939204.105799
15810244.0,0.807381971180439,0.2736,0.19027650356292725,0.00018670140280561124,170,0.6731,0.6989285320043563,1710,2924.755745658,1764939220.9418707
15991335.0,0.7956984601914883,0.2768,0.23003894090652466,0.00018654108216432867,172,0.7168,0.7345880083739758,1730,2958.74281102,1764939254.9289281
16163392.0,0.8041894525289536,0.28,0.241196408867836,0.0001863807615230461,174,0.6613,0.7142203595489264,1750,2991.837467651,1764939288.023669
16333654.0,0.802558983117342,0.2832,0.2428637593984604,0.00018622044088176354,176,0.689,0.725940628349781,1770,3025.499213754,1764939321.685294
16429634.0,0.7971521995961666,0.2848,0.29686984419822693,0.00018614028056112224,177,0.7126,0.7156600702553988,1780,3042.471519136,1764939338.6576986
16721607.0,0.8024673029780388,0.2896,0.2242133766412735,0.0001858997995991984,180,0.7007,0.7071369208395482,1810,3096.102194946,1764939392.2882693
16900749.0,0.8032782971858978,0.2928,0.2008034586906433,0.00018573947895791584,182,0.691,0.7072280056774616,1830,3129.345311323,1764939425.531393
17190731.0,0.8001985877752305,0.2976,0.21558940410614014,0.000185498997995992,185,0.7192,0.6996209554374218,1860,3180.24009423,1764939476.4261975
17475378.0,0.8000567272305489,0.3024,0.214290589094162,0.00018525851703406814,188,0.7166,0.7096149802207947,1890,3231.194344854,1764939527.3805113
17656420.0,0.7890230134129524,0.3056,0.21698926389217377,0.00018509819639278557,190,0.7183,0.7368049927055835,1910,3264.870764845,1764939561.0568612
17932003.0,0.793036200851202,0.3104,0.19177310168743134,0.0001848577154308617,193,0.7374,0.7435173377394676,1940,3314.939973524,1764939611.1260703
18012256.0,0.7965771056711674,0.312,0.24602267146110535,0.00018477755511022047,194,0.71,0.7164517186582089,1950,3331.012427787,1764939627.1984956
18106945.0,0.7984171248972416,0.3136,0.1964259147644043,0.00018469739478957917,195,0.705,0.7308273658156395,1960,3347.981187384,1764939644.1671758
18386723.0,0.8049972578883171,0.3184,0.20916631817817688,0.0001844569138276553,198,0.6664,0.7043672384694218,1990,3398.81764641,1764939695.0037622
18646603.0,0.8090808838605881,0.3232,0.23857852816581726,0.00018421643286573147,201,0.6387,0.69349125623703,2020,3449.536564429,1764939745.7225473
18843093.0,0.8083903543651104,0.3264,0.21574659645557404,0.0001840561122244489,203,0.6836,0.6944482650607824,2040,3484.089387257,1764939780.2754
19111636.0,0.7915649734437465,0.3312,0.22359640896320343,0.00018381563126252507,206,0.7473,0.7483102668076753,2070,3535.076377113,1764939831.2625875
19302787.0,0.7967301778495312,0.3344,0.198057621717453,0.0001836553106212425,208,0.7146,0.7079577144235373,2090,3569.287774037,1764939865.4738069
19391774.0,0.7982797995209694,0.336,0.2679322361946106,0.0001835751503006012,209,0.7209,0.7422882441431284,2100,3586.301364469,1764939882.4874375
19764117.0,0.7894873030483722,0.3424,0.2314935028553009,0.0001832545090180361,213,0.7272,0.7473608188331127,2140,3654.223114232,1764939950.409325
19865373.0,0.7907754883170128,0.344,0.22015948593616486,0.0001831743486973948,214,0.7207,0.7389503292739391,2150,3671.898375246,1764939968.084499
19963324.0,0.8000264532864094,0.3456,0.24921901524066925,0.0001830941883767535,215,0.7086,0.6868952386081218,2160,3689.458317483,1764939985.644438
20156363.0,0.7881521329283714,0.3488,0.22309410572052002,0.00018293386773547094,217,0.7605,0.7777436468750238,2180,3724.13047685,1764940020.3165593
20352557.0,0.7883377745747566,0.352,0.2394591122865677,0.0001827735470941884,219,0.7427,0.7497540347278118,2200,3758.945266078,1764940055.1313322
20614925.0,0.8082376919686795,0.3568,0.2359086126089096,0.00018253306613226454,222,0.6685,0.676711218431592,2230,3809.487535443,1764940105.6737049
20902020.0,0.7948700062930584,0.3616,0.2198396921157837,0.0001822925851703407,225,0.7189,0.745035220682621,2260,3860.456085713,1764940156.6422472
21179216.0,0.7946077130734921,0.3664,0.24195928871631622,0.00018205210420841686,228,0.7262,0.7441068936139346,2290,3910.569835212,1764940206.755837
21469916.0,0.8013478770852089,0.3712,0.22914668917655945,0.000181811623246493,231,0.6859,0.7239159066230059,2320,3961.345684964,1764940257.5318263
21562431.0,0.793343647569418,0.3728,0.22536702454090118,0.0001817314629258517,232,0.7281,0.7390679702162742,2330,3977.905386937,1764940274.0915806
21649817.0,0.7864645175635815,0.3744,0.24332809448242188,0.00018165130260521043,233,0.7659,0.7549017205834389,2340,3994.571860538,1764940290.7578976
21746782.0,0.8024583823978901,0.376,0.23581959307193756,0.00018157114228456916,234,0.6752,0.7078655414283276,2350,4011.672702876,1764940307.8588455
21943319.0,0.8024239607155323,0.3792,0.21597087383270264,0.00018141082164328657,236,0.7048,0.7366985484957695,2370,4046.908509507,1764940343.0945947
22131374.0,0.7885580152273178,0.3824,0.24958108365535736,0.00018125050100200403,238,0.7532,0.7294496651738882,2390,4080.734465855,1764940376.9206984
22315771.0,0.7898380972445012,0.3856,0.23124107718467712,0.00018109018036072146,240,0.743,0.7640328027307988,2410,4115.597685053,1764940411.7837524
22409737.0,0.7904067434370518,0.3872,0.2616119384765625,0.00018101002004008017,241,0.756,0.7538172399625183,2420,4132.981079969,1764940429.1671412
22500767.0,0.8049689151346684,0.3888,0.2519700825214386,0.00018092985971943887,242,0.7004,0.7152921631932259,2430,4149.704303964,1764940445.8904889
22949743.0,0.8065800361335278,0.3968,0.2451496720314026,0.00018052905811623247,247,0.6746,0.6873717423528433,2480,4232.546217537,1764940528.7323353
23041661.0,0.8036634892225265,0.3984,0.20502853393554688,0.0001804488977955912,248,0.6625,0.7033736767247319,2490,4249.531238909,1764940545.7174246
23134077.0,0.805704990029335,0.4,0.2593671381473541,0.0001803687374749499,249,0.6507,0.7021153856068849,2500,4266.840954275,1764940563.0269978
