train/mean_token_accuracy,train/entropy,train/num_tokens,_timestamp,train/loss,train/grad_norm,train/learning_rate,_step,_runtime,train/global_step,train/epoch
0.7018892814715704,0.8789370983839035,73341.0,1764930077.0314698,1.418,0.876587450504303,3.6e-05,0,15.021782092,10,0.0012
0.708897027373314,1.0467523982127507,143247.0,1764930089.9654984,1.2278,0.46415063738822937,7.6e-05,1,27.955780699,20,0.0024
0.751057501633962,1.0081607073545455,213787.0,1764930102.988687,0.9787,0.29478946328163147,0.000116,2,40.978933147,30,0.0036
0.7594556530316671,0.884627232948939,281289.0,1764930115.7205455,0.902,0.24725434184074402,0.00015600000000000002,3,53.710733164,40,0.0048
0.7680823763211568,0.8754503587881725,347451.0,1764930128.8997927,0.858,0.2199801802635193,0.000196,4,66.890164647,50,0.006
0.768578565120697,0.8861789395411809,423898.0,1764930142.3514686,0.8551,0.20513300597667694,0.0001990769230769231,5,80.34175321,60,0.0072
0.7806746294101079,0.8288885712623596,495301.0,1764930155.0127068,0.7968,0.2509150803089142,0.00019805128205128205,6,93.002823717,70,0.0084
0.7798647572596867,0.8268132522702217,563686.0,1764930167.4925392,0.8061,0.2761150598526001,0.00019702564102564102,7,105.482850132,80,0.0096
0.7796743323405584,0.806903575360775,634867.0,1764930180.3900912,0.8045,0.22654427587985992,0.000196,8,118.380252639,90,0.0108
0.7705304841200511,0.8474881241718928,706002.0,1764930193.3479626,0.8301,0.20564691722393036,0.000194974358974359,9,131.33813846,100,0.012
0.7777297933896382,0.8044672677914302,771966.0,1764930206.1270537,0.8163,0.3004415035247803,0.00019394871794871797,10,144.117201278,110,0.0132
0.794656037290891,0.7576570530732473,836460.0,1764930218.4386346,0.7127,0.20662584900856018,0.00019292307692307694,11,156.428799296,120,0.0144
0.7816138019164404,0.8105425879359245,902508.0,1764930230.8227687,0.8044,0.20527638494968414,0.0001918974358974359,12,168.813110922,130,0.0156
0.7794697533051173,0.7997831985354423,977060.0,1764930244.004123,0.8019,0.2468719184398651,0.00019087179487179489,13,181.99421763,140,0.0168
0.7813527057568233,0.8028508275747299,1051927.0,1764930257.1137805,0.7702,0.2037346065044403,0.00018984615384615386,14,195.103881726,150,0.018
0.7814618776241938,0.7806259021162987,1126377.0,1764930270.0245001,0.7641,0.19366228580474854,0.00018882051282051283,15,208.014604253,160,0.0192
0.7786951859792074,0.8098665269712607,1197076.0,1764930283.1539187,0.7756,0.26850879192352295,0.0001877948717948718,16,221.144120259,170,0.0204
0.782360460360845,0.7903488939007123,1267189.0,1764930296.1750154,0.8235,0.1859717220067978,0.00018676923076923078,17,234.16520215,180,0.0216
0.7746831436951955,0.8203619773189227,1333927.0,1764930308.926594,0.8125,0.22484931349754333,0.00018574358974358975,18,246.916779687,190,0.0228
0.7783252318700155,0.8105886926253637,1397355.0,1764930321.3490639,0.7953,0.22461670637130737,0.00018471794871794872,19,259.339278879,200,0.024
0.800066688656807,0.7206899717450141,1472109.0,1764930335.730404,0.7231,0.1987709403038025,0.0001836923076923077,20,273.720681973,210,0.0252
0.7939038912455241,0.7718189373612404,1542471.0,1764930348.8394837,0.7306,0.1931273639202118,0.00018266666666666667,21,286.829722927,220,0.0264
0.7823729197184245,0.7743620062867801,1610244.0,1764930361.2810261,0.7774,0.20866990089416504,0.00018164102564102564,22,299.271173419,230,0.0276
0.8036319176355998,0.7102612167596817,1681877.0,1764930373.9510126,0.6895,0.2754628658294678,0.00018061538461538464,23,311.94126726,240,0.0288
